"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"46","10703930","Isoc2b","361501","isochorismatase domain containing 2b",0.364236549701074,6.4913099818727,2.94806408557777,0.0078460374435122,0.73917573333895,-3.59755125455199
"110","10708015","Isg20","293052","interferon stimulated exonuclease gene 20",0.66724864884385,8.81103895847742,3.14675713667466,0.00499546135067985,0.73917573333895,-3.47549828153982
"125","10708587","LOC103691190","103691190","uncharacterized LOC103691190",0.532243031443308,9.31831432201922,2.92959766448891,0.00817927607467952,0.73917573333895,-3.60891800321807
"138","10709200","Pde2a","81743","phosphodiesterase 2A",-0.342823840937459,11.3574829283331,-2.99032197759589,0.00713189200824287,0.73917573333895,-3.57154809821032
"174","10711268","Itgam","25021","integrin subunit alpha M",0.624272628093927,10.57453964144,3.18496132028436,0.0045766837868081,0.73917573333895,-3.45212011612849
"298","10718504","Lilrc2","690906","leukocyte immunoglobulin-like receptor, subfamily C, member 2",0.614307392223328,11.0061225052134,2.83177927465282,0.0101835679944037,0.73917573333895,-3.66913253676629
"307","10718954","Lilrb4","292594","leukocyte immunoglobulin like receptor B4",0.297241244137966,12.8339819753819,2.91167796357526,0.00851562329211937,0.73917573333895,-3.61994938384296
"311","10719148","RGD1564801","499084","similar to hepatic multiple inositol polyphosphate phosphatase",-0.490900843208109,6.74615102543402,-2.93644010713541,0.00805424341117667,0.73917573333895,-3.60470605663812
"371","10722992","Anpep","81641","alanyl aminopeptidase, membrane",0.658008755013965,10.6736654754959,2.85671300654826,0.00963209146090266,0.73917573333895,-3.65378638336155
"522","10731643","Ppl","302934","periplakin",-0.401274693116944,9.01609005531085,-3.21933998824034,0.0042291599528239,0.73917573333895,-3.43111802922818
"538","10732941","Ebf1","116543","EBF transcription factor 1",-0.423200738792087,10.5787068014407,-3.11266091555163,0.00540044141594045,0.73917573333895,-3.49639349891799
"586","10735375","Zfp3","497944","zinc finger protein 3",-0.359150121222068,7.82132466270804,-3.09874207303834,0.0055747568343072,0.73917573333895,-3.50493087758887
"682","10741373","Baiap3","106146145","BAI1-associated protein 3",-0.422479450254531,8.89351508836507,-4.28582813643765,0.000347794868997276,0.73917573333895,-2.81146962716787
