"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3844","10908861","RGD1562690","500965","similar to L-lactate dehydrogenase A chain (LDH-A) (LDH muscle subunit) (LDH-M)",6.04369583703999,10.1667018339766,38.3226429481181,1.81091053318449e-20,8.08390462013557e-17,35.8287847361394
"1103","10763351","Serpinb11","304689","serpin family B member 11",5.68764907416632,7.60573307289093,36.1699315241679,5.78583245252293e-20,1.29139780340312e-16,34.8723733581095
"1887","10805976","Dok4","361364","docking protein 4",-1.99368333743146,8.47056770997866,-22.8007803086327,5.59956829635998e-16,8.33215762498365e-13,26.6424063429546
"820","10748306","Icam2","360647","intercellular adhesion molecule 2",1.74456461731919,8.8371665967621,21.3031720223899,2.1191788215785e-15,2.10612481511167e-12,25.373583279302
"1088","10762717","Pop5","117241","POP5 homolog, ribonuclease P/MRP subunit",-1.63712977282651,9.82167035322324,-21.1865650698891,2.35901076961432e-15,2.10612481511167e-12,25.2707550522941
"3064","10866076","Klri2","503650","killer cell lectin-like receptor family I member 2",3.16524095415797,8.4306391173862,20.5711031929019,4.19226352197359e-15,2.86781707067478e-12,24.7177952487247
"4358","10936923","LOC100363171","100363171","histone variant H2al2-like",3.04544415552637,9.74113338398542,20.497119092347,4.49702497641655e-15,2.86781707067478e-12,24.6501424588094
"482","10729409","Tjp2","115769","tight junction protein 2",-1.82231608895308,7.37330345662478,-19.2268073605662,1.55751329791995e-14,7.72526595768293e-12,23.4468409356935
"2142","10817987","LOC102551064","102551064","glutamic acid-rich protein-like",-1.66368665767124,6.46066557285656,-19.2778330989401,1.47961157174439e-14,7.72526595768293e-12,23.4967482076481
"2344","10827582","Tmlhe","170898","trimethyllysine hydroxylase, epsilon",-1.8460448411698,8.13932104685644,-19.0968121947019,1.77600812688793e-14,7.9281002784277e-12,23.3190771108519
"2763","10851192","Scand1","362252","SCAN domain-containing 1",1.4288748595675,9.61753188723612,18.4268577014381,3.53926797168492e-14,1.4362992932365e-11,22.646205979747
"2664","10845143","Neb","311029","nebulin",-2.01518523369736,6.89119820655848,-17.7964833792302,6.91345119560268e-14,2.5718038447642e-11,21.9901271802921
"3259","10876769","Abca1","313210","ATP binding cassette subfamily A member 1",-1.80211879090944,9.97947654074987,-17.123413730256,1.44679055467953e-13,4.96805618160724e-11,21.2636064269824
