"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3844","10908861","RGD1562690","500965","similar to L-lactate dehydrogenase A chain (LDH-A) (LDH muscle subunit) (LDH-M)",5.83367365898472,10.1667018339766,36.9909073416585,3.68653172054253e-20,1.64566776005019e-16,35.3269404570384
"1103","10763351","Serpinb11","304689","serpin family B member 11",5.57280747597835,7.60573307289093,35.4396099645183,8.71281147038268e-20,1.94469952018941e-16,34.6036051737734
"1887","10805976","Dok4","361364","docking protein 4",-2.0246371346478,8.47056770997866,-23.1547837337489,4.13685167085673e-16,6.15563528623481e-13,26.951944360036
"2142","10817987","LOC102551064","102551064","glutamic acid-rich protein-like",-1.81574109572559,6.46066557285656,-21.0397514657483,2.70202554273898e-15,3.0154605056967e-12,25.1558853211577
"4358","10936923","LOC100363171","100363171","histone variant H2al2-like",3.02627102048382,9.74113338398542,20.3680758355111,5.08538333439752e-15,4.5402302409501e-12,24.5446972700218
"1088","10762717","Pop5","117241","POP5 homolog, ribonuclease P/MRP subunit",-1.40801357628628,9.82167035322324,-18.2215067787652,4.39191792175947e-14,2.1783912891927e-11,22.4412161753398
"2344","10827582","Tmlhe","170898","trimethyllysine hydroxylase, epsilon",-1.78668002154725,8.13932104685644,-18.4826999120415,3.3387438007839e-14,2.1783912891927e-11,22.7102763561562
"2664","10845143","Neb","311029","nebulin",-2.07191923370492,6.89119820655848,-18.2975121041773,4.0536785738964e-14,2.1783912891927e-11,22.5199075522267
"3064","10866076","Klri2","503650","killer cell lectin-like receptor family I member 2",2.80518732685959,8.4306391173862,18.231091664742,4.34768351446638e-14,2.1783912891927e-11,22.451157870629
"3259","10876769","Abca1","313210","ATP binding cassette subfamily A member 1",-1.90703347595433,9.97947654074987,-18.1202944949788,4.88880982050078e-14,2.18236470387155e-11,22.3359161080933
"820","10748306","Icam2","360647","intercellular adhesion molecule 2",1.46708272797841,8.8371665967621,17.9147939921121,6.08738128505328e-14,2.47037000513435e-11,22.1203006122615
"129","10708665","Rab30","308821","RAB30, member RAS oncogene family",1.79494260346448,8.77348484696994,17.6694940102015,7.93187997691206e-14,2.95065935141129e-11,21.8596908544037
"2763","10851192","Scand1","362252","SCAN domain-containing 1",1.3548475746643,9.61753188723612,17.4721973014728,9.83683284863096e-14,3.37781706432989e-11,21.6474766461201
"3068","10866142","LOC103690111","103690111","killer cell lectin-like receptor 5",-2.05209886568106,7.93625572724742,-17.3565260581239,1.11710420347088e-13,3.56196654592431e-11,21.5219624146161
"768","10745595","Slfn13","303378","schlafen family member 13",-1.44841053416273,9.97467782131065,-17.1451136926334,1.41219390374459e-13,4.20268905754389e-11,21.2904317833492
"482","10729409","Tjp2","115769","tight junction protein 2",-1.61637433399148,7.37330345662478,-17.0539667243303,1.56359397286212e-13,4.3624271842853e-11,21.1897518579413
"4303","10933449","Ca5b","302669","carbonic anhydrase 5B",-2.33190388670011,9.08046805269253,-16.9678221614185,1.72233166856922e-13,4.52264033440766e-11,21.0941161355204
"3201","10874095","Clstn1","313717","calsyntenin 1",-1.65138168823384,7.81473066990854,-16.8247808173413,2.02422257815139e-13,5.02007199381545e-11,20.9342716804288
"1598","10789670","Lig4","290907","DNA ligase 4",1.44033846463449,8.31563493757996,16.6665639995842,2.4235357234299e-13,5.69403340494266e-11,20.7559346486
"2568","10839443","Slc27a2","65192","solute carrier family 27 member 2",-2.5656904596047,6.99000079128992,-16.5208988228652,2.8642472066047e-13,6.39299976514169e-11,20.5903011975626
"2035","10812954","Plk2","83722","polo-like kinase 2",-2.47131379839754,9.77154700620285,-15.9322792414633,5.70138495368761e-13,1.21195154444102e-10,19.9065030661819
"409","10724895","Lyve1","293186","lymphatic vessel endothelial hyaluronan receptor 1",2.13842751457774,10.4911699564257,15.2028086275448,1.38014015565393e-12,2.80042984310869e-10,19.0253657001987
"951","10755088","Rtp4","360733","receptor (chemosensory) transporter protein 4",-2.05974084020467,6.72669370421967,-14.8141582238734,2.24337331434842e-12,4.35409498923972e-10,18.5398480682447
"3334","10881167","Ddi2","313668","DNA damage inducible 1 homolog 2",0.930375795206201,10.3231934670499,14.7524755547659,2.42556292285815e-12,4.51154703651615e-10,18.4617265442911
"3187","10872935","Cnr2","57302","cannabinoid receptor 2",1.01745904911777,10.0015076584364,14.6538347222267,2.74972486479517e-12,4.90990871857826e-10,18.3361803394839
"2663","10845124","Rnd3","295588","Rho family GTPase 3",-1.80056635020382,6.23987880391276,-14.0070579793611,6.37143015870699e-12,1.09392554724877e-09,17.4936917127591
"3282","10878221","Dock7","313388","dedicator of cytokinesis 7",-1.32418626424034,7.74205267597279,-13.8517343410106,7.83328407610208e-12,1.29510296724888e-09,17.2862364414684
"856","10750524","Mx2","286918","MX dynamin like GTPase 2",-2.3760692325047,7.09687590223142,-13.4403789701419,1.36630272644333e-11,2.17827691815823e-09,16.7268371110271
"2037","10812973","Mier3","310086","MIER family member 3",-0.863215198548451,10.4989343935863,-13.3518247224235,1.54290646143129e-11,2.3750118771825e-09,16.6044773438719
"3360","10882755","Cript","56725","CXXC repeat containing interactor of PDZ3 domain",0.996028690546574,9.52101516143725,13.3182987247789,1.61584656127722e-11,2.4043796831805e-09,16.5579708004792
"1077","10761978","P2rx4","29659","purinergic receptor P2X 4",-1.18972363580619,9.14673622085705,-13.2574054212435,1.75768118110434e-11,2.53106090079025e-09,16.4732437163267
"4357","10936917","Xk","497078","X-linked Kx blood group",2.36959279490438,8.89783905170315,12.7508128111536,3.58294318959144e-11,4.99820574948006e-09,15.7552574797223
